ID,NAME,URL,ADDRESS,CITY,STATE,ZIP,LONGITUDE,LATITUDE,AGENCY_INDIVIDUAL,NUM_PROVIDERS,VIRTUAL,MEDICAID,PMH_C,CDPH,NEIGHBORHOODS
1006,,,,,IL,60004,-87.98049933,42.08399969,Individual,1,Y,N,Y,N,
1007,,,,,IL,60026,-87.84742731,42.08753962,Agency,1,Y,N,N,N,
1008,,,,,IL,60016,-87.88421632,42.04230115,Individual,5,Y,N,N,N,
1009,,,,,IL,60005,-87.98161311,42.05398552,Individual,1,Y,N,Y,N,
1010,,,,,IL,60613,-87.67366023,41.94965367,Agency,26,Y,N,Y,N,
1011,,,,,IL,60606,-87.63495637,41.88676064,Agency,1,Y,N,Y,N,
1012,,,,,IL,60605,-87.63282016,41.86814494,Individual,1,Y,N,N,N,
1013,,,,,IL,60609,-87.62598422,41.80320736,Agency,7,Y,N,N,N,
1014,,,,,IL,60613,-87.6737899,41.95570377,Agency,12,Y,N,Y,N,
1015,,,,,IL,60614,-87.64334867,41.93283077,Agency,1,Y,N,Y,N,
1016,,,,,IL,60640,-87.67439264,41.97666552,Agency,1,Y,N,Y,N,
1017,,,,,IL,60602,-87.62667841,41.88318245,Agency,1,Y,N,Y,N,
1018,,,,,IL,60301,-87.79450238,41.88825987,Agency,1,Y,N,N,N,
1019,,,,,IL,60302,-87.79470832,41.88685603,Agency,3,Y,N,Y,N,
1020,,,,,IL,60067,-88.04380038,42.1195411,Agency,13,Y,Y,Y,N,
1021,,,,,IL,60602,-87.62667841,41.88318245,Agency,5,Y,N,Y,N,
