"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"28914","JJ448302","10/11/2025 08:08:00 PM","059XX S NORMANDY AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0811","008","13","64","01A","1132746","1864563","2025","10/19/2025 03:42:33 PM","41.784583451","-87.788849508","(41.784583451, -87.788849508)"
"28913","JJ446884","10/10/2025 02:29:00 PM","097XX S PRINCETON AVE","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0511","005","9","49","01A","1176003","1840389","2025","10/18/2025 03:42:09 PM","41.717385916","-87.630974666","(41.717385916, -87.630974666)"
"28912","JJ443971","10/08/2025 03:05:00 AM","060XX S PRAIRIE AVE","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","0311","003","20","40","01A","1179076","1864996","2025","10/16/2025 03:42:34 PM","41.784840989","-87.618971338","(41.784840989, -87.618971338)"
"28911","JJ443625","10/07/2025 07:10:00 PM","010XX W 31ST ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0913","009","11","60","01A","1169996","1884285","2025","10/15/2025 03:55:37 PM","41.837974206","-87.651701404","(41.837974206, -87.651701404)"
"28910","JJ442189","10/06/2025 05:19:00 PM","016XX W 79TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","true","false","0611","006","17","71","01A","1166608","1852321","2025","02/13/2026 03:42:59 PM","41.75033427","-87.665045312","(41.75033427, -87.665045312)"
"28909","JJ442109","10/06/2025 05:15:00 PM","000XX N KILBOURN AVE","0110","HOMICIDE","FIRST DEGREE MURDER","GAS STATION","true","false","1113","011","28","26","01A","1146387","1899777","2025","11/16/2025 03:41:06 PM","41.88096768","-87.737940272","(41.88096768, -87.737940272)"
"28908","JJ441599","10/06/2025 09:17:00 AM","056XX W WASHINGTON BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","true","1513","015","29","25","01A","1138415","1900175","2025","10/14/2025 03:58:46 PM","41.88220788","-87.767203679","(41.88220788, -87.767203679)"
"28907","JJ441303","10/06/2025 03:36:00 AM","026XX W 39TH PL","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0921","009","12","58","01A","1159522","1878370","2025","04/22/2026 03:41:10 PM","41.821964415","-87.690297894","(41.821964415, -87.690297894)"
"28906","JJ439875","10/04/2025 08:35:00 PM","038XX W ROOSEVELT RD","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1011","010","24","29","01A","1151170","1894442","2025","10/12/2025 03:43:35 PM","41.866235446","-87.720517147","(41.866235446, -87.720517147)"
"28905","JJ439436","10/04/2025 02:38:00 PM","001XX S PULASKI RD","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","1115","011","28","26","01A","1149755","1898904","2025","10/12/2025 03:43:35 PM","41.878507287","-87.7255958","(41.878507287, -87.7255958)"
"28903","JJ438632","10/03/2025 08:32:00 PM","009XX W 85TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0613","006","17","71","01A","1171688","1848473","2025","10/11/2025 03:44:01 PM","41.739665062","-87.646542433","(41.739665062, -87.646542433)"
"28904","JJ438632","10/03/2025 08:06:00 PM","009XX W 85TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","APARTMENT","false","false","0613","006","17","71","01A","1171688","1848473","2025","10/11/2025 03:44:01 PM","41.739665062","-87.646542433","(41.739665062, -87.646542433)"
"28902","JJ438338","10/03/2025 04:13:00 PM","054XX S WELLS ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","true","false","0935","009","20","37","01A","1175530","1868925","2025","03/25/2026 03:55:08 PM","41.795702678","-87.631854853","(41.795702678, -87.631854853)"
"28901","JJ438253","10/03/2025 03:31:00 PM","026XX W CERMAK RD","0110","HOMICIDE","FIRST DEGREE MURDER","PARKING LOT","false","false","1034","010","25","30","01A","1159207","1889299","2025","10/11/2025 03:44:01 PM","41.851961298","-87.691153739","(41.851961298, -87.691153739)"
"28900","JJ437609","10/03/2025 03:00:00 AM","066XX S NORMAL BLVD","0110","HOMICIDE","FIRST DEGREE MURDER","HOUSE","false","true","0722","007","6","68","01A","1174235","1860977","2025","10/11/2025 03:44:01 PM","41.773921405","-87.63683974","(41.773921405, -87.63683974)"
"28899","JJ436459","10/02/2025 08:06:00 AM","100XX S AVENUE N","0110","HOMICIDE","FIRST DEGREE MURDER","PORCH","false","false","0432","004","10","52","01A","1201156","1838984","2025","10/10/2025 03:42:51 PM","41.712930476","-87.538899017","(41.712930476, -87.538899017)"
"28936","JJ385519","09/30/2025 10:46:00 PM","000XX W 69TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","STREET","false","false","0731","007","6","69","01A","1177185","1859273","2025","11/01/2025 03:41:48 PM","41.769179375","-87.626077063","(41.769179375, -87.626077063)"
"28898","JJ433993","09/30/2025 11:43:00 AM","029XX W HARRISON ST","0110","HOMICIDE","FIRST DEGREE MURDER","CHA PARKING LOT","false","false","1135","011","27","27","01A","1156930","1897228","2025","10/08/2025 03:48:59 PM","41.873765737","-87.699296047","(41.873765737, -87.699296047)"
"28897","JJ432992","09/29/2025 05:46:00 PM","025XX E 78TH ST","0110","HOMICIDE","FIRST DEGREE MURDER","ALLEY","false","false","0421","004","7","43","01A","1194343","1853737","2025","10/07/2025 03:43:32 PM","41.753583795","-87.563366582","(41.753583795, -87.563366582)"
